,phrase,label,sentiment,subjectivity,language,count
Hurrikan Melissa,Hurrikan Melissa,PER,-0.6111111111111113,0.0,de,7.199999999999999
"Sturmtief ""Joshua","Sturmtief ""Joshua",PER,-0.2357142857142857,0.21428571428571427,de,7.0
"Sturm ""Bualoi","Sturm ""Bualoi",PER,0.0,0.0,de,5.0
Sturmtief Joshua,Sturmtief Joshua,PER,0.25,0.0,de,4.0
Sturmtief „Joshua,Sturmtief „Joshua,PER,0.0,0.0,de,4.0
Heftiger Sturm,Heftiger Sturm,PER,-0.5384615384615384,0.0,de,2.6
Tropischer Wirbelsturm,Tropischer Wirbelsturm,PER,0.0,0.0,de,2.6
"Supertaifun ""Fung-Wong","Supertaifun ""Fung-Wong",PER,0.0,0.0,de,2.0
Björn Alexander,Björn Alexander,PER,-0.7,0.0,de,2.0
Miguel Díaz-Canel,Miguel Díaz-Canel,PER,0.5,0.5,de,2.0
Orkantief Detlef,Orkantief Detlef,PER,0.0,0.0,de,2.0
"Taifun ""Fung-Wong","Taifun ""Fung-Wong",PER,0.0,0.0,de,1.8
Samuel Mbangula,Samuel Mbangula,PER,1.8181818181818181,0.0,de,1.1
"Tödlicher Sturm ""Melissa","Tödlicher Sturm ""Melissa",PER,0.0,0.0,de,1.1
nan Hurrikan Melissa,nan Hurrikan Melissa,PER,0.0,0.0,de,1.0
Jonas Piontek,Jonas Piontek,PER,0.0,0.0,de,1.0
Andrew Holness,Andrew Holness,PER,0.0,0.0,de,1.0
Durchzug von Melissa,Durchzug von Melissa,PER,0.0,0.0,de,1.0
Dana M,Dana M,PER,0.0,0.0,de,1.0
Patricia Kelly,Patricia Kelly,PER,0.0,0.0,de,1.0
Daryl Vaz,Daryl Vaz,PER,0.0,0.9333333333333332,de,1.0
Tödlicher Sturm „Melissa,Tödlicher Sturm „Melissa,PER,0.0,0.0,de,1.0
Wirbelsturm Melissa,Wirbelsturm Melissa,PER,0.0,0.0,de,1.0
Anne-Claire Fontan,Anne-Claire Fontan,PER,0.0,0.0,de,1.0
Supertaifun „Fung-Wong,Supertaifun „Fung-Wong,PER,0.0,0.0,de,1.0
Taifun „Fung-wong“,Taifun „Fung-wong“,PER,0.0,0.0,de,1.0
"Taifun ""Fung-wong","Taifun ""Fung-wong",PER,0.0,0.0,de,1.0
Simon Stiell,Simon Stiell,PER,0.0,0.0,de,1.0
Lutz Herden,Lutz Herden,PER,0.7,0.0,de,1.0
Anirban Mandal,Anirban Mandal,PER,0.0,0.0,de,1.0
Marco Grüll,Marco Grüll,PER,0.0,0.0,de,1.0
tornado-artige Wirbel,tornado-artige Wirbel,PER,0.0,0.0,de,1.0
Sturm «Bualoi,Sturm «Bualoi,PER,0.7,0.0,de,1.0
Sturm „Bualoi“,Sturm „Bualoi“,PER,0.0,0.0,de,1.0
Luke Donald,Luke Donald,PER,1.0,0.0,de,1.0
"Taifun ""Bualoi","Taifun ""Bualoi",PER,0.0,0.0,de,1.0
Cody Rhodes,Cody Rhodes,PER,1.0,0.0,de,1.0
Seth Rollins,Seth Rollins,PER,1.0,0.0,de,1.0
Rhea Ripley,Rhea Ripley,PER,1.0,0.0,de,1.0
"Orkantief ""Detlef","Orkantief ""Detlef",PER,0.0,0.0,de,1.0
Filmstar Diane Keaton,Filmstar Diane Keaton,PER,0.0,0.0,de,1.0
Beauty-Redakteurin Alexandra Busse-Richter,Beauty-Redakteurin Alexandra Busse-Richter,PER,-2.0,0.0,de,1.0
Szenario konfront,Szenario konfront,PER,0.0,0.0,de,1.0
Boris Pistorius,Boris Pistorius,PER,0.0,0.0,de,1.0
Stürmischer Herbst,Stürmischer Herbst,PER,0.0,0.0,de,1.0
Erich Altenkopf,Erich Altenkopf,PER,0.7,0.0,de,1.0
Sturmtief „Joshua“,Sturmtief „Joshua“,PER,0.0,0.0,de,1.0
Joshua ungemütliches,Joshua ungemütliches,PER,-1.0,0.0,de,1.0
Kelly Family,Kelly Family,PER,0.0,0.0,de,1.0
Umgestürzte Bäume,Umgestürzte Bäume,PER,0.0,0.0,de,1.0
Jan Schenk,Jan Schenk,PER,0.0,0.0,de,1.0
