domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
www.stern.de,-0.1344811600652722,0.23460185740583234,0.07014167037531523,0.1564323028746411,107.0
www.tagesspiegel.de,-0.07657153032153032,0.21903553734354198,0.05238603988603989,0.10702977177238968,78.0
www.zeit.de,-0.05347826086956522,0.24641775648940317,0.0391304347826087,0.0971752210506675,69.0
www.bild.de,-0.056764632936507936,0.23282617795033136,0.0523499503968254,0.0884600779367984,64.0
www.n-tv.de,-0.051820987654320985,0.23050113533256786,0.06878306878306878,0.1325877461783452,27.0
www.focus.de,-0.04840838509316771,0.1891606816838225,0.08247412008281574,0.13262187930033617,23.0
www.faz.net,-0.03992063492063492,0.17992550633717233,0.08775510204081632,0.12071988743057377,21.0
www.sueddeutsche.de,-0.0263265306122449,0.13875798625518848,0.05444444444444444,0.11077170383437446,21.0
www.welt.de,-0.05603174603174604,0.2781838142196586,0.04047619047619047,0.11984884437573555,18.0
www.tagesschau.de,-0.10660714285714284,0.17491601483254168,0.060714285714285714,0.0977989051592099,16.0
orf.at,-0.089,0.15330848659970542,0.06277777777777778,0.1466851539574963,15.0
www.morgenpost.de,-0.0386904761904762,0.2126814746185235,0.03333333333333333,0.0691832695550361,14.0
www.diepresse.com,0.035897435897435895,0.10471437205608271,0.0532051282051282,0.11782846433925469,13.0
www.nzz.ch,0.04646825396825397,0.2166560432110785,0.1392857142857143,0.19359630380918036,10.0
www.ibiza-heute.de,0.04843877551020409,0.160933883985248,0.03346938775510204,0.057183658902531326,7.0
www.dw.com,0.014120370370370368,0.0680550831427292,0.12962962962962962,0.06728111897994427,6.0
www.spektrum.de,0.0575,0.09604686356149272,0.08333333333333333,0.16666666666666666,4.0
www.telepolis.de,0.34861111111111104,0.3229189068022657,0.027777777777777776,0.048112522432468816,3.0
www.derstandard.at,0.10333333333333333,0.1305118130030126,0.0,0.0,3.0
kaernten.orf.at,-0.005555555555555554,0.10844011831079518,0.09523809523809523,0.1649572197684645,3.0
www.freitag.de,0.24444444444444444,0.1253698232932973,0.08333333333333333,0.14433756729740646,3.0
noe.orf.at,-0.1875,0.2651650429449553,0.0,0.0,2.0
ooe.orf.at,0.13,0.3818376618407357,0.0,0.0,2.0
www.pro-linux.de,0.175,0.0,0.0,0.0,2.0
steiermark.orf.at,-0.019999999999999997,0.1697056274847714,0.07142857142857142,0.10101525445522107,2.0
www.jungewelt.de,-0.09666666666666666,0.3346972097616325,0.0,0.0,2.0
vorarlberg.orf.at,0.12833333333333333,0.016499158227686113,0.0,0.0,2.0
taz.de,0.11666666666666665,0.1649915822768611,0.14583333333333331,0.029462782549439466,2.0
www.teltarif.de,0.0,1.0,0.0,1.0,1.0
www.visions.de,0.0,1.0,0.0,1.0,1.0
futurezone.at,0.0,1.0,0.0,1.0,1.0
www.gamestar.de,0.0,1.0,0.0,1.0,1.0
www.china-gadgets.de,0.0,1.0,0.0,1.0,1.0
www.brigitte.de,0.0,1.0,0.0,1.0,1.0
www.appgefahren.de,0.0,1.0,0.0,1.0,1.0
versicherungswirtschaft-heute.de,0.0,1.0,0.0,1.0,1.0
t3n.de,0.0,1.0,0.0,1.0,1.0
sport.orf.at,0.0,1.0,0.0,1.0,1.0
soundcloud.com,0.0,1.0,0.0,1.0,1.0
snipz.de,0.0,1.0,0.0,1.0,1.0
shows.acast.com,0.0,1.0,0.0,1.0,1.0
www.esa.int,0.0,1.0,0.0,1.0,1.0
